model,auv_train_sample_count,training_time,val_image_count,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,preprocess,inference,loss,postprocess
yolov8l_8_1280,0,1:02d,79,,,0.695,,,,,,
auv25,25,15:02m,79,0.760,0.819,0.824,0.408,0.450,4.085,1344.941,0.000,1.664
auv50,50,17:42m,79,0.872,0.819,0.880,0.457,0.499,2.012,1338.639,0.000,0.877
auv75,75,20:21m,79,0.839,0.824,0.868,0.421,0.466,2.147,1338.191,0.001,0.907
auv100,100,22:53m,79,0.860,0.816,0.867,0.454,0.495,4.114,1367.307,0.001,1.406
auv125,125,25:26m,79,0.869,0.819,0.860,0.454,0.494,4.406,1341.477,0.001,2.594
auv150,150,27:57m,79,0.807,0.833,0.875,0.461,0.503,2.229,1279.167,0.000,0.944
auv175,175,30:34m,79,0.861,0.822,0.888,0.473,0.515,4.260,1336.149,0.001,1.865
auv200,200,32:53m,79,0.834,0.775,0.841,0.466,0.504,4.592,1346.912,0.000,2.574
auv225,225,36:13m,79,0.888,0.813,0.884,0.461,0.503,4.206,1303.699,0.001,0.868
auv250,250,38:20m,79,0.842,0.811,0.873,0.476,0.515,2.346,1261.910,0.000,0.877
auv275,275,41:30m,79,0.881,0.779,0.872,0.473,0.513,2.142,1223.578,0.000,0.915
auv300,300,43:23m,79,0.874,0.789,0.888,0.476,0.517,4.433,1366.853,0.001,1.028
auv325,325,49:05m,79,0.852,0.815,0.891,0.482,0.522,4.368,1342.308,0.000,0.874
auv350,350,50:55m,79,0.869,0.814,0.899,0.473,0.516,3.738,1344.748,0.001,0.839
auv375,375,51:37m,79,0.869,0.814,0.899,0.473,0.516,1.971,1245.173,0.001,0.869
auv400,400,53:30m,79,0.916,0.806,0.917,0.490,0.533,2.074,1304.694,0.001,0.845
auv425,425,57:46m,79,0.858,0.809,0.878,0.475,0.516,4.284,1318.329,0.000,1.290
auv450,450,58:59m,79,0.862,0.828,0.891,0.470,0.512,2.630,1294.803,0.001,0.854
