timestamp,CPU,Memory,GPU_Util,GPU_Mem,GPU_Mem_Free,Power
2023-04-19 09:12:43,0.0,0.0,23,2306,3661,12.36
2023-04-19 09:12:44,181,2.6,22,2306,3661,17.37
2023-04-19 09:12:45,129,3.2,45,2306,3661,12.23
2023-04-19 09:12:46,100,3.3,17,2306,3661,12.90
2023-04-19 09:12:47,93.0,4.2,37,2306,3661,45.13
2023-04-19 09:12:48,88.6,4.8,17,2306,3661,45.65
2023-04-19 09:12:49,87.3,5.3,35,2306,3661,19.67
2023-04-19 09:12:50,86.0,7.4,45,2306,3661,14.02
2023-04-19 09:12:51,90.0,8.1,43,2306,3661,15.30
2023-04-19 09:12:52,94.4,8.6,2,2306,3661,16.24
2023-04-19 09:12:53,83.2,12.0,45,2315,3652,16.50
2023-04-19 09:12:55,80.5,15.2,29,2471,3496,14.15
2023-04-19 09:12:56,76.6,17.3,24,2521,3446,26.04
2023-04-19 09:12:57,74.0,19.6,2,2569,3398,11.74
2023-04-19 09:12:58,71.9,22.9,30,2643,3324,24.94
2023-04-19 09:12:59,69.5,25.4,28,2721,3246,22.68
2023-04-19 09:13:00,69.1,27.0,3,2781,3186,12.66
2023-04-19 09:13:01,67.7,29.2,3,2859,3108,15.90
2023-04-19 09:13:02,66.4,31.2,47,2927,3040,24.82
2023-04-19 09:13:03,64.5,32.5,30,2969,2998,26.25
2023-04-19 09:13:04,63.3,34.8,2,3029,2938,15.53
2023-04-19 09:13:05,62.1,36.3,52,3071,2896,31.20
2023-04-19 09:13:06,61.6,38.2,2,3125,2842,23.72
2023-04-19 09:13:07,58.0,40.2,3,3181,2786,7.86
2023-04-19 09:13:09,56.9,42.2,19,3273,2694,42.61
2023-04-19 09:13:10,56.1,43.5,49,3975,1992,19.37
2023-04-19 09:13:11,56.1,44.9,5,4049,1918,48.02
2023-04-19 09:13:12,56.6,46.6,62,4305,1662,44.45
2023-04-19 09:13:13,57.9,46.3,56,5881,86,47.44
2023-04-19 09:13:14,58.9,46.1,80,5881,86,46.08
2023-04-19 09:13:15,60.4,46.1,82,5881,86,45.51
2023-04-19 09:13:16,61.8,46.1,100,5881,86,45.80
2023-04-19 09:13:17,61.3,46.1,100,5881,86,45.86
2023-04-19 09:13:18,62.5,46.1,100,5881,86,45.69
2023-04-19 09:13:20,63.7,46.1,100,5881,86,45.54
2023-04-19 09:13:21,64.8,46.1,100,5881,86,45.24
2023-04-19 09:13:22,65.9,46.1,100,5881,86,44.32
2023-04-19 09:13:23,67.0,46.1,100,5881,86,44.53
2023-04-19 09:13:24,67.9,46.1,100,5881,86,44.40
2023-04-19 09:13:25,68.8,46.1,100,5881,86,44.11
2023-04-19 09:13:26,69.7,46.1,100,5881,86,44.63
2023-04-19 09:13:27,70.7,46.1,100,5881,86,44.48
2023-04-19 09:13:28,71.5,45.6,100,5881,86,45.87
2023-04-19 09:13:29,72.3,45.3,100,5881,86,45.92
2023-04-19 09:13:30,73.0,44.8,100,5881,86,45.68
2023-04-19 09:13:31,73.7,44.8,100,5881,86,44.36
2023-04-19 09:13:32,72.9,44.7,100,5881,86,44.24
2023-04-19 09:13:33,73.6,44.7,100,5881,86,45.28
2023-04-19 09:13:35,74.2,44.7,100,5881,86,44.49
2023-04-19 09:13:36,74.8,44.7,100,5881,86,44.26
2023-04-19 09:13:37,75.4,44.7,100,5881,86,45.03
2023-04-19 09:13:38,76.0,44.7,100,5881,86,45.44
2023-04-19 09:13:39,76.7,44.1,100,5881,86,44.85
2023-04-19 09:13:40,77.2,43.7,100,5881,86,44.68
2023-04-19 09:13:41,77.8,43.7,100,5881,86,44.40
2023-04-19 09:13:42,78.4,43.4,100,5881,86,44.49
2023-04-19 09:13:43,77.7,43.4,100,5881,86,44.35
2023-04-19 09:13:44,78.2,43.4,100,5881,86,44.40
2023-04-19 09:13:45,78.6,43.4,100,5881,86,44.80
2023-04-19 09:13:47,79.1,43.4,100,5881,86,45.14
2023-04-19 09:13:48,79.5,43.4,100,5881,86,44.80
2023-04-19 09:13:49,80.0,43.4,100,5881,86,44.95
2023-04-19 09:13:50,80.5,43.2,100,5881,86,44.95
2023-04-19 09:13:51,80.4,43.2,88,1772,4195,32.00
2023-04-19 09:14:03,72.5,43.6,42,2608,3359,26.24
2023-04-19 09:14:04,72.8,43.6,90,3188,2779,41.55
2023-04-19 09:14:05,73.0,43.6,84,3188,2779,43.60
2023-04-19 09:14:06,73.2,43.6,79,3188,2779,43.29
2023-04-19 09:14:07,72.7,43.6,86,2836,3131,45.56
2023-04-19 09:14:08,72.9,43.6,86,2744,3223,43.45
2023-04-19 09:14:10,73.1,43.6,84,2744,3223,41.19
2023-04-19 09:14:11,73.4,43.6,90,3382,2585,45.57
2023-04-19 09:14:12,73.5,43.6,85,4408,1559,22.62
2023-04-19 09:14:13,73.6,43.6,72,4408,1559,40.97
2023-04-19 09:14:14,73.6,43.7,60,2348,3619,44.89
2023-04-19 09:14:15,73.9,43.7,87,3188,2779,43.71
2023-04-19 09:14:16,74.1,43.7,81,3188,2779,40.15
2023-04-19 09:14:17,74.3,43.7,91,2744,3223,39.32
2023-04-19 09:14:18,74.6,43.7,88,3382,2585,39.14
2023-04-19 09:14:19,74.0,43.7,84,2284,3683,39.86
2023-04-19 09:14:21,74.1,43.7,74,3896,2071,44.69
2023-04-19 09:14:22,74.2,43.7,67,2284,3683,20.18
2023-04-19 09:14:23,74.3,43.7,69,2814,3153,37.48
2023-04-19 09:14:24,74.5,43.7,89,4094,1873,31.98
2023-04-19 09:14:25,74.7,43.7,96,4382,1585,47.43
2023-04-19 09:14:26,74.6,43.9,82,2286,3681,17.81
2023-04-19 09:14:27,74.5,44.4,23,2306,3661,17.24
2023-04-19 09:14:28,74.5,44.5,36,2306,3661,13.06
2023-04-19 09:14:29,74.4,44.6,45,2306,3661,46.24
2023-04-19 09:14:30,74.5,44.8,45,2306,3661,42.22
2023-04-19 09:14:31,74.5,44.9,45,2306,3661,47.13
2023-04-19 09:14:32,74.5,44.9,45,2306,3661,48.55
2023-04-19 09:14:33,74.4,44.9,45,2306,3661,14.52
2023-04-19 09:14:34,74.4,45.0,45,2306,3661,14.27
2023-04-19 09:14:35,74.3,45.1,45,2306,3661,46.66
2023-04-19 09:14:36,74.3,45.2,45,2306,3661,44.10
2023-04-19 09:14:37,73.4,45.2,45,2306,3661,17.30
2023-04-19 09:14:38,73.4,45.4,45,2306,3661,15.21
2023-04-19 09:14:39,73.4,45.6,45,2306,3661,16.47
2023-04-19 09:14:41,73.3,45.6,45,2306,3661,14.95
2023-04-19 09:14:42,73.3,45.7,45,2306,3661,12.43
2023-04-19 09:14:43,73.3,46.0,45,2306,3661,14.96
2023-04-19 09:14:44,73.3,46.0,45,2306,3661,12.40
2023-04-19 09:14:45,73.3,46.2,45,2306,3661,12.60
2023-04-19 09:14:46,73.2,46.2,45,2306,3661,12.91
2023-04-19 09:14:47,73.2,46.2,36,2306,3661,18.38
2023-04-19 09:14:48,73.2,46.4,31,2306,3661,44.00
2023-04-19 09:14:49,73.1,46.7,41,2306,3661,42.77
2023-04-19 09:14:50,73.1,46.9,34,2306,3661,44.91
2023-04-19 09:14:51,73.0,46.9,36,2306,3661,14.01
2023-04-19 09:14:52,73.0,47.4,45,2306,3661,17.75
2023-04-19 09:14:53,73.1,47.4,45,2306,3661,48.84
2023-04-19 09:14:54,73.2,47.4,45,2306,3661,49.11
2023-04-19 09:14:55,73.2,47.5,45,2306,3661,48.72
2023-04-19 09:14:56,72.7,47.5,45,2306,3661,48.43
2023-04-19 09:14:57,72.8,47.5,45,2306,3661,43.57
2023-04-19 09:14:59,72.8,47.5,45,2306,3661,44.19
2023-04-19 09:15:00,72.9,47.5,45,2306,3661,38.68
2023-04-19 09:15:01,72.9,47.5,45,2306,3661,35.01
2023-04-19 09:15:02,72.8,47.6,34,2306,3661,45.20
2023-04-19 09:15:03,72.9,47.7,44,2306,3661,44.15
2023-04-19 09:15:04,73.0,47.9,51,2306,3661,14.82
2023-04-19 09:15:05,73.0,47.9,50,2306,3661,13.22
2023-04-19 09:15:06,72.9,48.2,36,2306,3661,20.30
2023-04-19 09:15:07,72.9,48.4,23,2306,3661,45.50
2023-04-19 09:15:08,72.8,48.7,31,2306,3661,42.79
2023-04-19 09:15:09,72.9,48.9,45,2306,3661,47.71
2023-04-19 09:15:10,72.9,49.1,45,2306,3661,42.09
2023-04-19 09:15:11,72.4,49.1,45,2306,3661,46.20
2023-04-19 09:15:12,72.4,49.1,45,2306,3661,48.23
2023-04-19 09:15:14,72.4,49.1,45,2306,3661,15.45
2023-04-19 09:15:15,72.4,49.1,45,2306,3661,44.36
2023-04-19 09:15:16,72.5,49.1,45,2306,3661,46.34
2023-04-19 09:15:17,72.4,49.4,45,2306,3661,48.68
2023-04-19 09:15:18,72.4,49.6,45,2306,3661,48.79
2023-04-19 09:15:19,72.4,49.8,43,2306,3661,45.36
2023-04-19 09:15:20,72.4,49.8,28,2306,3661,47.31
2023-04-19 09:15:21,72.4,49.8,37,2306,3661,47.33
2023-04-19 09:15:22,72.5,49.8,37,2306,3661,45.95
2023-04-19 09:15:23,72.5,49.8,48,2306,3661,48.06
2023-04-19 09:15:24,72.1,50.1,40,2306,3661,42.15
2023-04-19 09:15:25,72.1,50.3,45,2306,3661,44.49
2023-04-19 09:15:27,72.1,50.6,45,2306,3661,38.37
2023-04-19 09:15:28,72.0,50.6,45,2306,3661,17.32
2023-04-19 09:15:29,72.0,50.6,24,2306,3661,16.03
2023-04-19 09:15:30,72.0,50.8,44,2306,3661,16.36
2023-04-19 09:15:31,72.1,50.8,42,2306,3661,16.20
2023-04-19 09:15:32,72.1,50.8,49,2306,3661,15.97
2023-04-19 09:15:33,72.1,51.0,48,2306,3661,19.86
2023-04-19 09:15:34,72.1,51.3,54,2306,3661,25.68
2023-04-19 09:15:35,72.1,51.3,37,2306,3661,46.58
2023-04-19 09:15:36,72.1,51.5,42,2306,3661,42.63
2023-04-19 09:15:37,72.2,51.5,48,2306,3661,47.65
2023-04-19 09:15:38,72.1,51.5,17,2306,3661,16.19
2023-04-19 09:15:39,72.1,51.5,43,2306,3661,28.18
2023-04-19 09:15:40,71.7,51.5,37,2306,3661,22.34
2023-04-19 09:15:41,71.6,51.6,10,2306,3661,37.87
2023-04-19 09:15:42,71.6,51.8,45,2306,3661,44.85
2023-04-19 09:15:44,71.7,51.8,45,2306,3661,46.43
2023-04-19 09:15:45,71.6,51.8,45,2306,3661,41.55
2023-04-19 09:15:46,71.6,51.8,45,2306,3661,15.05
2023-04-19 09:15:47,71.6,51.9,22,2306,3661,16.54
2023-04-19 09:15:48,71.6,51.9,34,2306,3661,18.09
2023-04-19 09:15:49,71.5,52.1,33,2306,3661,47.60
2023-04-19 09:15:50,71.5,52.1,45,2306,3661,48.07
2023-04-19 09:15:51,71.6,52.2,45,2306,3661,42.65
2023-04-19 09:15:52,71.6,52.5,45,2306,3661,45.35
2023-04-19 09:15:53,71.6,52.7,45,2306,3661,44.00
2023-04-19 09:15:54,71.2,53.0,30,2306,3661,46.50
2023-04-19 09:15:55,71.2,53.0,16,2306,3661,16.15
2023-04-19 09:15:56,71.2,53.2,45,2306,3661,16.99
2023-04-19 09:15:57,71.2,53.2,45,2306,3661,16.19
2023-04-19 09:15:59,71.2,53.4,45,2306,3661,12.55
2023-04-19 09:16:00,71.2,53.7,45,2306,3661,12.74
2023-04-19 09:16:01,71.2,53.7,45,2306,3661,15.80
2023-04-19 09:16:02,71.2,53.7,27,2306,3661,45.72
2023-04-19 09:16:03,71.2,53.7,24,2306,3661,43.07
2023-04-19 09:16:04,71.2,53.7,39,2306,3661,48.97
2023-04-19 09:16:05,71.1,53.7,45,2306,3661,45.21
2023-04-19 09:16:06,71.2,53.7,45,2306,3661,32.75
2023-04-19 09:16:07,71.2,53.8,45,2306,3661,16.50
2023-04-19 09:16:08,71.2,53.8,42,2306,3661,16.65
2023-04-19 09:16:09,71.2,54.0,29,2306,3661,16.61
2023-04-19 09:16:10,71.2,54.0,44,2306,3661,16.23
2023-04-19 09:16:11,71.2,54.2,31,2306,3661,16.46
2023-04-19 09:16:12,71.2,54.5,34,2306,3661,14.25
2023-04-19 09:16:13,70.9,54.7,45,2306,3661,15.19
2023-04-19 09:16:14,70.9,54.9,45,2306,3661,14.25
2023-04-19 09:16:15,70.9,55.2,45,2306,3661,13.60
2023-04-19 09:16:16,70.8,55.2,45,2306,3661,42.90
2023-04-19 09:16:18,70.9,55.2,45,2306,3661,47.67
2023-04-19 09:16:19,70.9,55.2,36,2306,3661,43.81
2023-04-19 09:16:20,70.9,55.2,40,2306,3661,44.33
2023-04-19 09:16:21,70.9,55.2,16,2306,3661,48.19
2023-04-19 09:16:22,70.8,55.2,42,2306,3661,17.97
2023-04-19 09:16:23,70.9,55.2,45,2306,3661,17.95
2023-04-19 09:16:24,70.9,55.2,45,2306,3661,13.59
2023-04-19 09:16:25,70.9,55.4,45,2306,3661,14.94
2023-04-19 09:16:26,70.9,55.7,44,2306,3661,14.61
2023-04-19 09:16:27,70.8,55.9,45,2306,3661,14.63
2023-04-19 09:16:28,70.8,56.1,35,2306,3661,14.97
2023-04-19 09:16:29,70.8,56.1,30,2306,3661,16.03
2023-04-19 09:16:30,70.8,56.1,26,2306,3661,44.39
2023-04-19 09:16:31,70.8,56.4,45,2306,3661,43.94
2023-04-19 09:16:32,70.6,56.6,45,2306,3661,47.85
2023-04-19 09:16:34,70.6,56.8,45,2306,3661,43.01
2023-04-19 09:16:35,70.6,57.1,45,2306,3661,46.88
2023-04-19 09:16:36,70.6,57.3,45,2306,3661,43.31
2023-04-19 09:16:37,70.6,57.3,45,2306,3661,46.65
2023-04-19 09:16:38,70.6,57.3,43,2306,3661,47.45
2023-04-19 09:16:39,70.6,57.3,15,2306,3661,48.19
2023-04-19 09:16:40,70.6,57.3,39,2306,3661,48.47
2023-04-19 09:16:41,70.6,57.3,39,2306,3661,45.78
2023-04-19 09:16:42,70.6,57.3,44,2306,3661,41.59
2023-04-19 09:16:43,70.6,57.3,45,2306,3661,44.26
2023-04-19 09:16:44,70.4,57.3,45,2306,3661,45.61
2023-04-19 09:16:46,70.3,57.3,44,2306,3661,19.36
2023-04-19 09:16:47,70.3,57.3,11,2306,3661,15.98
2023-04-19 09:16:48,70.3,57.4,34,2306,3661,16.69
2023-04-19 09:16:49,70.4,57.6,45,2306,3661,42.90
2023-04-19 09:16:50,70.2,57.6,45,2306,3661,26.63
2023-04-19 09:16:51,70.2,57.9,36,2306,3661,31.22
2023-04-19 09:16:52,70.2,58.1,47,2306,3661,44.56
2023-04-19 09:16:53,70.3,58.4,42,2306,3661,47.17
2023-04-19 09:16:54,70.3,58.4,37,2306,3661,45.35
2023-04-19 09:16:55,70.3,58.4,44,2306,3661,47.61
2023-04-19 09:16:56,70.3,58.4,37,2306,3661,43.28
2023-04-19 09:16:57,70.4,58.6,45,2306,3661,47.52
2023-04-19 09:16:58,70.1,58.8,47,2306,3661,43.40
2023-04-19 09:16:59,70.1,58.8,38,2306,3661,44.10
2023-04-19 09:17:00,70.1,58.8,37,2306,3661,48.44
2023-04-19 09:17:02,70.1,58.8,32,2306,3661,28.81
2023-04-19 09:17:03,70.0,58.9,45,2306,3661,16.26
2023-04-19 09:17:04,70.1,58.9,45,2306,3661,17.40
2023-04-19 09:17:05,70.1,59.0,41,2306,3661,14.55
2023-04-19 09:17:06,70.1,59.1,44,2306,3661,16.14
2023-04-19 09:17:07,70.1,59.2,48,2306,3661,13.03
2023-04-19 09:17:08,70.1,59.2,41,2306,3661,15.09
2023-04-19 09:17:09,70.1,59.3,41,2306,3661,14.11
2023-04-19 09:17:10,70.1,59.5,50,2306,3661,25.95
2023-04-19 09:17:11,70.1,59.6,48,2306,3661,47.78
2023-04-19 09:17:12,70.2,59.8,45,2306,3661,43.55
2023-04-19 09:17:13,70.2,59.8,45,2306,3661,45.22
2023-04-19 09:17:14,70.1,59.9,29,2306,3661,47.88
2023-04-19 09:17:15,70.1,59.9,18,2306,3661,17.89
2023-04-19 09:17:16,69.8,60.0,45,2306,3661,14.06
2023-04-19 09:17:17,69.8,60.0,45,2306,3661,20.62
2023-04-19 09:17:18,69.8,60.1,33,2306,3661,47.84
2023-04-19 09:17:20,69.7,60.2,27,2306,3661,43.01
2023-04-19 09:17:21,69.7,60.3,30,2306,3661,37.08
2023-04-19 09:17:22,69.6,60.4,45,2306,3661,20.32
2023-04-19 09:17:23,69.6,60.4,45,2306,3661,18.20
2023-04-19 09:17:24,69.6,60.4,45,2306,3661,14.85
2023-04-19 09:17:25,69.6,60.5,45,2306,3661,14.09
2023-04-19 09:17:26,69.6,60.6,41,2306,3661,16.18
2023-04-19 09:17:27,69.6,60.7,25,2306,3661,16.18
2023-04-19 09:17:28,69.6,60.8,31,2306,3661,15.53
2023-04-19 09:17:29,69.5,61.0,38,2306,3661,46.09
2023-04-19 09:17:30,69.5,61.2,45,2306,3661,46.59
2023-04-19 09:17:31,69.4,61.5,45,2306,3661,26.24
2023-04-19 09:17:32,69.4,61.5,36,2306,3661,15.01
2023-04-19 09:17:33,69.4,61.7,15,2306,3661,18.15
2023-04-19 09:17:34,69.2,61.7,39,2306,3661,25.07
2023-04-19 09:17:35,69.1,61.7,37,2306,3661,42.80
2023-04-19 09:17:37,69.1,61.7,18,2306,3661,46.29
2023-04-19 09:17:38,69.1,61.7,35,2306,3661,41.20
2023-04-19 09:17:39,69.0,61.7,44,2306,3661,15.95
2023-04-19 09:17:40,69.0,61.7,45,2306,3661,14.56
2023-04-19 09:17:41,69.1,61.8,45,2306,3661,16.12
2023-04-19 09:17:42,69.0,62.0,4,2306,3661,43.47
2023-04-19 09:17:43,69.0,62.0,41,2306,3661,48.85
2023-04-19 09:17:44,69.0,62.3,45,2306,3661,46.88
2023-04-19 09:17:45,68.9,62.3,45,2306,3661,16.93
2023-04-19 09:17:46,68.9,62.5,40,2306,3661,17.21
2023-04-19 09:17:47,68.7,62.8,17,2306,3661,17.61
2023-04-19 09:17:48,68.7,63.0,33,2306,3661,28.56
2023-04-19 09:17:49,68.7,63.0,45,2306,3661,46.90
2023-04-19 09:17:51,68.6,63.0,45,2306,3661,14.03
2023-04-19 09:17:52,68.5,63.2,0,2306,3661,14.04
2023-04-19 09:17:53,68.5,63.2,45,2306,3661,18.49
2023-04-19 09:17:54,68.4,63.2,45,2306,3661,42.96
2023-04-19 09:17:55,68.4,63.2,29,2306,3661,32.76
2023-04-19 09:17:56,68.4,63.2,38,2306,3661,15.80
2023-04-19 09:17:57,68.4,63.2,45,2306,3661,16.72
2023-04-19 09:17:58,68.4,63.2,45,2306,3661,15.21
2023-04-19 09:17:59,68.3,63.2,0,2306,3661,14.63
2023-04-19 09:18:00,68.3,63.2,45,2306,3661,14.79
2023-04-19 09:18:01,68.3,63.3,45,2306,3661,14.95
2023-04-19 09:18:02,68.3,63.3,44,2306,3661,15.00
2023-04-19 09:18:03,68.2,63.5,1,2306,3661,42.59
2023-04-19 09:18:04,68.0,63.5,45,2306,3661,46.26
2023-04-19 09:18:05,68.0,63.5,45,2306,3661,22.22
2023-04-19 09:18:07,68.0,63.6,43,2306,3661,15.97
2023-04-19 09:18:08,68.0,63.9,23,2306,3661,17.29
2023-04-19 09:18:09,67.9,64.1,24,2306,3661,45.55
2023-04-19 09:18:10,67.8,64.1,45,2306,3661,27.04
2023-04-19 09:18:11,67.8,64.1,35,2306,3661,12.90
2023-04-19 09:18:12,67.8,64.1,10,2306,3661,18.34
2023-04-19 09:18:13,67.8,64.1,45,2306,3661,43.83
2023-04-19 09:18:14,67.7,64.2,13,2306,3661,45.76
2023-04-19 09:18:15,67.7,64.4,32,2306,3661,39.67
2023-04-19 09:18:16,67.7,64.4,45,2306,3661,18.38
2023-04-19 09:18:17,67.7,64.5,45,2306,3661,18.83
2023-04-19 09:18:18,67.7,64.5,37,2306,3661,39.32
2023-04-19 09:18:19,67.6,64.5,8,2306,3661,47.85
2023-04-19 09:18:20,67.6,64.5,44,2306,3661,17.14
2023-04-19 09:18:21,67.6,64.8,45,2306,3661,16.93
2023-04-19 09:18:22,67.4,64.8,36,2306,3661,15.44
2023-04-19 09:18:23,67.3,65.0,13,2306,3661,45.62
2023-04-19 09:18:24,67.3,65.0,41,2306,3661,48.44
2023-04-19 09:18:26,67.2,65.0,45,2306,3661,16.61
2023-04-19 09:18:27,67.2,65.2,14,2306,3661,13.66
2023-04-19 09:18:28,67.2,65.5,31,2306,3661,20.09
2023-04-19 09:18:29,67.2,65.5,45,2306,3661,44.51
2023-04-19 09:18:30,67.1,65.5,45,2306,3661,16.70
2023-04-19 09:18:31,67.1,65.5,27,2306,3661,16.51
2023-04-19 09:18:32,67.1,65.7,19,2306,3661,44.53
2023-04-19 09:18:33,67.1,65.9,45,2306,3661,46.02
2023-04-19 09:18:34,67.0,65.9,21,2306,3661,27.85
2023-04-19 09:18:35,67.0,65.9,40,2306,3661,16.84
2023-04-19 09:18:36,67.0,66.2,45,2306,3661,17.41
2023-04-19 09:18:37,67.0,66.2,32,2306,3661,48.40
2023-04-19 09:18:38,66.8,65.9,13,2306,3661,29.35
2023-04-19 09:18:39,66.7,65.9,45,2306,3661,12.88
2023-04-19 09:18:40,66.7,66.0,35,2306,3661,15.34
2023-04-19 09:18:42,66.7,66.3,10,2306,3661,37.97
2023-04-19 09:18:43,66.7,66.5,45,2306,3661,48.23
2023-04-19 09:18:44,66.6,66.5,45,2306,3661,16.38
2023-04-19 09:18:45,66.6,66.5,24,2306,3661,18.68
2023-04-19 09:18:46,66.6,66.5,22,2306,3661,44.02
2023-04-19 09:18:47,66.6,66.5,45,2306,3661,47.02
2023-04-19 09:18:48,66.5,66.5,45,2306,3661,19.09
2023-04-19 09:18:49,66.5,66.6,0,2306,3661,47.60
2023-04-19 09:18:50,66.4,66.6,45,2306,3661,18.81
2023-04-19 09:18:51,66.4,66.8,0,2306,3661,16.05
2023-04-19 09:18:52,66.4,66.8,45,2306,3661,16.94
2023-04-19 09:18:53,66.4,67.1,45,2306,3661,44.28
2023-04-19 09:18:54,66.1,67.1,0,2306,3661,16.16
2023-04-19 09:18:55,66.1,67.1,45,2306,3661,12.94
2023-04-19 09:18:56,66.1,67.1,45,2306,3661,14.19
2023-04-19 09:18:57,66.1,67.3,26,2306,3661,42.43
2023-04-19 09:18:59,66.1,67.3,19,2306,3661,17.81
2023-04-19 09:19:00,66.1,67.5,45,2306,3661,17.51
2023-04-19 09:19:01,66.1,67.8,35,2306,3661,16.85
2023-04-19 09:19:02,66.0,68.0,21,2306,3661,48.88
2023-04-19 09:19:03,66.0,68.0,34,2306,3661,39.09
2023-04-19 09:19:04,66.0,68.0,45,2306,3661,18.08
2023-04-19 09:19:05,66.0,68.3,37,2306,3661,16.43
2023-04-19 09:19:06,65.9,68.3,8,2306,3661,44.21
2023-04-19 09:19:07,65.9,68.3,45,2306,3661,46.95
2023-04-19 09:19:08,65.9,68.3,45,2306,3661,17.93
2023-04-19 09:19:09,65.9,68.3,30,2306,3661,12.42
2023-04-19 09:19:10,65.9,68.5,22,2306,3661,12.32
2023-04-19 09:19:11,65.8,68.7,37,2306,3661,42.63
2023-04-19 09:19:12,65.8,68.7,45,2306,3661,15.35
2023-04-19 09:19:13,65.7,68.7,31,2306,3661,14.56
2023-04-19 09:19:14,65.6,68.7,14,2306,3661,14.35
2023-04-19 09:19:15,65.5,69.0,45,2306,3661,44.28
2023-04-19 09:19:16,65.5,69.0,45,2306,3661,14.18
2023-04-19 09:19:17,65.5,69.2,0,2306,3661,12.79
2023-04-19 09:19:19,65.5,69.2,45,2306,3661,14.62
2023-04-19 09:19:20,65.4,69.2,9,2306,3661,34.05
2023-04-19 09:19:21,65.4,69.2,36,2306,3661,18.12
2023-04-19 09:19:22,65.4,69.4,45,2306,3661,16.11
2023-04-19 09:19:23,65.4,69.7,45,2306,3661,13.75
2023-04-19 09:19:24,65.4,69.9,28,2306,3661,34.20
2023-04-19 09:19:25,65.3,69.9,18,2306,3661,17.60
2023-04-19 09:19:26,65.3,69.9,45,2306,3661,14.88
2023-04-19 09:19:27,65.3,70.2,44,2306,3661,13.87
2023-04-19 09:19:28,65.3,70.4,26,2306,3661,17.13
2023-04-19 09:19:29,65.3,70.4,19,2306,3661,46.85
2023-04-19 09:19:30,65.3,70.4,45,2306,3661,48.07
2023-04-19 09:19:31,65.3,70.4,45,2306,3661,14.90
2023-04-19 09:19:32,65.3,70.4,34,2306,3661,13.84
2023-04-19 09:19:33,65.1,70.4,25,2306,3661,15.44
2023-04-19 09:19:34,65.2,70.4,32,2306,3661,15.77
2023-04-19 09:19:35,65.2,70.4,44,2306,3661,21.76
2023-04-19 09:19:36,65.2,70.6,45,2306,3661,48.37
2023-04-19 09:19:37,65.1,70.6,45,2306,3661,48.13
2023-04-19 09:19:39,65.1,70.6,45,2306,3661,27.95
2023-04-19 09:19:40,65.1,70.9,35,2306,3661,31.87
2023-04-19 09:19:41,65.1,70.9,38,2306,3661,15.23
2023-04-19 09:19:42,65.2,71.1,17,2306,3661,19.20
2023-04-19 09:19:43,65.1,71.1,2,2306,3661,19.72
2023-04-19 09:19:44,65.0,71.1,35,2306,3661,43.46
2023-04-19 09:19:45,65.0,71.1,11,2306,3661,13.96
2023-04-19 09:19:46,65.0,71.1,45,2310,3657,20.55
2023-04-19 09:19:47,64.9,71.3,5,2306,3661,49.31
2023-04-19 09:19:48,64.9,71.3,51,2306,3661,19.27
2023-04-19 09:19:49,64.9,71.6,45,2306,3661,20.27
2023-04-19 09:19:50,64.9,71.7,19,2306,3661,31.59
2023-04-19 09:19:51,64.7,71.7,27,2306,3661,44.31
2023-04-19 09:19:52,64.7,72.0,45,2306,3661,47.11
2023-04-19 09:19:54,64.7,72.2,45,2306,3661,23.71
2023-04-19 09:19:55,64.7,72.2,43,2306,3661,14.84
2023-04-19 09:19:56,64.7,72.2,2,2306,3661,15.12
2023-04-19 09:19:57,64.7,72.2,45,2306,3661,30.22
2023-04-19 09:19:58,64.7,72.2,45,2306,3661,45.74
2023-04-19 09:19:59,64.7,72.2,45,2306,3661,46.62
2023-04-19 09:20:00,64.6,72.2,7,2306,3661,14.23
2023-04-19 09:20:01,64.6,72.2,45,2306,3661,17.61
2023-04-19 09:20:02,64.6,72.2,45,2306,3661,16.35
2023-04-19 09:20:03,64.6,72.3,44,2306,3661,43.76
2023-04-19 09:20:04,64.6,72.5,1,2306,3661,44.67
2023-04-19 09:20:05,64.6,72.5,44,2306,3661,19.24
2023-04-19 09:20:06,64.5,72.8,45,2306,3661,18.98
2023-04-19 09:20:07,64.4,73.0,0,2306,3661,48.62
2023-04-19 09:20:08,64.4,73.0,45,2306,3661,18.27
2023-04-19 09:20:10,64.4,73.0,3,2306,3661,45.56
2023-04-19 09:20:11,64.3,73.0,42,2306,3661,17.15
2023-04-19 09:20:12,64.3,73.0,0,2306,3661,45.38
2023-04-19 09:20:13,64.3,73.0,57,2306,3661,16.39
2023-04-19 09:20:14,64.3,73.0,31,2306,3661,16.01
2023-04-19 09:20:15,64.3,73.0,21,2306,3661,14.97
2023-04-19 09:20:16,64.3,73.2,37,2306,3661,45.76
2023-04-19 09:20:17,64.2,73.2,45,2306,3661,16.80
2023-04-19 09:20:18,64.2,73.2,0,2306,3661,19.27
