timestamp,CPU,Memory,GPU_Util,GPU_Mem,GPU_Mem_Free,Power
2023-04-19 12:00:34,0.0,0.0,0,10,5957,8.31
2023-04-19 12:00:35,166,2.9,0,10,5957,8.37
2023-04-19 12:00:36,119,3.8,0,10,5957,8.28
2023-04-19 12:00:38,99.6,4.7,0,10,5957,8.31
2023-04-19 12:00:39,90.0,6.4,0,10,5957,8.30
2023-04-19 12:00:40,88.4,10.1,0,10,5957,8.32
2023-04-19 12:00:41,90.3,11.1,0,10,5957,8.44
2023-04-19 12:00:42,98.8,11.5,0,10,5957,8.21
2023-04-19 12:00:43,91.0,16.2,3,181,5786,22.88
2023-04-19 12:00:44,79.4,26.3,5,435,5532,23.15
2023-04-19 12:00:45,78.2,34.3,5,641,5326,22.96
2023-04-19 12:00:46,76.8,40.2,6,989,4978,22.98
2023-04-19 12:00:47,76.4,45.6,5,1313,4654,22.98
2023-04-19 12:00:48,75.2,52.9,5,1787,4180,24.25
2023-04-19 12:00:49,73.8,53.5,20,1789,4178,37.84
2023-04-19 12:00:50,71.9,53.7,15,1789,4178,29.28
2023-04-19 12:00:51,70.5,53.8,11,1789,4178,25.72
2023-04-19 12:00:52,69.2,53.9,17,1789,4178,67.89
2023-04-19 12:00:53,67.8,54.0,8,1789,4178,26.90
2023-04-19 12:00:54,67.1,54.2,16,1789,4178,40.21
2023-04-19 12:00:55,66.1,54.3,9,1789,4178,24.54
2023-04-19 12:00:56,65.6,54.4,18,1789,4178,26.69
2023-04-19 12:00:57,64.6,54.5,8,1789,4178,26.76
2023-04-19 12:00:58,64.0,54.7,15,1789,4178,52.98
2023-04-19 12:00:59,63.4,54.8,11,1789,4178,25.39
2023-04-19 12:01:00,62.4,54.8,11,1789,4178,26.56
2023-04-19 12:01:01,61.9,55.0,17,1789,4178,50.95
2023-04-19 12:01:03,61.3,55.1,8,1789,4178,26.97
2023-04-19 12:01:04,60.7,55.1,8,1789,4178,25.99
2023-04-19 12:01:05,60.2,55.3,10,1789,4178,68.11
