model,class,image_count,instance_count,precision,recall,map50,map50_95
yolov8n_16_640,all,4747,7260,0.706,0.382,0.372,0.25
yolov8n_16_640,Pasiphaea,4747,97,0.841,0.629,0.751,0.503
yolov8n_16_640,Poeobius meseres,4747,263,0.669,0.607,0.673,0.415
yolov8n_16_640,Siphonophorae,4747,2062,0.719,0.79,0.799,0.587
yolov8n_16_640,Ctenophora,4747,1746,0.875,0.82,0.885,0.729
yolov8n_16_640,Medusae,4747,834,0.834,0.86,0.888,0.748
yolov8n_16_640,Eusergestes similis,4747,199,0.725,0.638,0.711,0.446
yolov8n_16_640,Octopus,4747,4,1,0,0,0
yolov8n_16_640,Larvacean,4747,31,0.502,0.584,0.489,0.219
yolov8n_16_640,Fish,4747,1668,0.561,0.724,0.669,0.369
yolov8n_16_640,Squid,4747,12,0.318,0.667,0.408,0.327
yolov8n_16_640,Mysida,4747,18,0.972,0.111,0.241,0.125
yolov8n_16_640,Worm,4747,11,1,0,0.00268,0.00107
yolov8n_16_640,Echinoderm,4747,124,0.566,0.526,0.506,0.303
yolov8n_16_640,Other,4747,3,1,0,0.00256,0.00205
yolov8n_16_640,Crustacea,4747,6,1,0,0.00357,0.00179
yolov8n_16_640,Anemone,4747,5,1,0,0.0556,0.0293
yolov8n_16_640,Equipment,4747,6,0.0558,0.167,0.0335,0.0168
yolov8n_16_640,Coral,4747,3,1,0,0.00277,0.00138
yolov8n_16_640,Sponge,4747,6,0.239,0.167,0.126,0.0989
yolov8n_16_640,Euphausiacea,4747,162,0.244,0.346,0.189,0.084
yolov8n_8_1280,all,4747,7260,0.726,0.394,0.397,0.264
yolov8n_8_1280,Pasiphaea,4747,97,0.721,0.722,0.795,0.538
yolov8n_8_1280,Poeobius meseres,4747,263,0.662,0.745,0.755,0.462
yolov8n_8_1280,Siphonophorae,4747,2062,0.696,0.803,0.807,0.58
yolov8n_8_1280,Ctenophora,4747,1746,0.847,0.828,0.888,0.729
yolov8n_8_1280,Medusae,4747,834,0.813,0.872,0.884,0.695
yolov8n_8_1280,Eusergestes similis,4747,199,0.753,0.739,0.794,0.505
yolov8n_8_1280,Octopus,4747,4,1,0,0.00611,0.00489
yolov8n_8_1280,Larvacean,4747,31,0.274,0.484,0.378,0.214
yolov8n_8_1280,Fish,4747,1668,0.558,0.688,0.653,0.364
yolov8n_8_1280,Squid,4747,12,0.339,0.301,0.226,0.154
yolov8n_8_1280,Mysida,4747,18,0.664,0.167,0.287,0.14
yolov8n_8_1280,Worm,4747,11,1,0,0.0043,0.000638
yolov8n_8_1280,Echinoderm,4747,124,0.675,0.536,0.564,0.348
yolov8n_8_1280,Other,4747,3,1,0,0.00156,0.00125
yolov8n_8_1280,Crustacea,4747,6,1,0,0,0
yolov8n_8_1280,Anemone,4747,5,1,0,0.022,0.0127
yolov8n_8_1280,Equipment,4747,6,0.218,0.167,0.0727,0.0146
yolov8n_8_1280,Coral,4747,3,1,0,0,0
yolov8n_8_1280,Sponge,4747,6,1,0.411,0.502,0.387
yolov8n_8_1280,Euphausiacea,4747,162,0.299,0.414,0.306,0.139
yolov8l_16_640,all,4747,7260,0.78,0.396,0.41,0.275
yolov8l_16_640,Pasiphaea,4747,97,0.907,0.707,0.823,0.542
yolov8l_16_640,Poeobius meseres,4747,263,0.716,0.597,0.713,0.439
yolov8l_16_640,Siphonophorae,4747,2062,0.76,0.812,0.823,0.615
yolov8l_16_640,Ctenophora,4747,1746,0.888,0.828,0.889,0.738
yolov8l_16_640,Medusae,4747,834,0.869,0.874,0.91,0.775
yolov8l_16_640,Eusergestes similis,4747,199,0.799,0.677,0.774,0.48
yolov8l_16_640,Octopus,4747,4,1,0,0,0
yolov8l_16_640,Larvacean,4747,31,0.445,0.491,0.4,0.219
yolov8l_16_640,Fish,4747,1668,0.604,0.68,0.678,0.388
yolov8l_16_640,Squid,4747,12,0.272,0.583,0.302,0.249
yolov8l_16_640,Mysida,4747,18,0.749,0.167,0.284,0.137
yolov8l_16_640,Worm,4747,11,1,0,0,0
yolov8l_16_640,Echinoderm,4747,124,0.673,0.564,0.535,0.33
yolov8l_16_640,Other,4747,3,1,0,0.0019,0.00152
yolov8l_16_640,Crustacea,4747,6,1,0,0.00188,0.000942
yolov8l_16_640,Anemone,4747,5,1,0,0.074,0.0358
yolov8l_16_640,Equipment,4747,6,0.865,0.167,0.197,0.0545
yolov8l_16_640,Coral,4747,3,1,0,0.00585,0.00293
yolov8l_16_640,Sponge,4747,6,0.651,0.5,0.502,0.368
yolov8l_16_640,Euphausiacea,4747,162,0.403,0.272,0.286,0.127
yolov8l_8_1280,all,4747,7260,0.747,0.404,0.442,0.302
yolov8l_8_1280,Pasiphaea,4747,97,0.861,0.769,0.884,0.598
yolov8l_8_1280,Poeobius meseres,4747,263,0.727,0.76,0.817,0.51
yolov8l_8_1280,Siphonophorae,4747,2062,0.772,0.803,0.834,0.619
yolov8l_8_1280,Ctenophora,4747,1746,0.872,0.842,0.895,0.745
yolov8l_8_1280,Medusae,4747,834,0.837,0.882,0.894,0.747
yolov8l_8_1280,Eusergestes similis,4747,199,0.786,0.769,0.826,0.519
yolov8l_8_1280,Octopus,4747,4,1,0,0.397,0.284
yolov8l_8_1280,Larvacean,4747,31,0.404,0.548,0.414,0.246
yolov8l_8_1280,Fish,4747,1668,0.637,0.605,0.664,0.388
yolov8l_8_1280,Squid,4747,12,0.49,0.583,0.434,0.353
yolov8l_8_1280,Mysida,4747,18,0.53,0.167,0.281,0.143
yolov8l_8_1280,Worm,4747,11,1,0,0.0115,0.00486
yolov8l_8_1280,Echinoderm,4747,124,0.687,0.444,0.528,0.305
yolov8l_8_1280,Other,4747,3,1,0,0.00755,0.00679
yolov8l_8_1280,Crustacea,4747,6,1,0,0.00208,0.00101
yolov8l_8_1280,Anemone,4747,5,0.287,0.2,0.214,0.0879
yolov8l_8_1280,Equipment,4747,6,1,0,0.00593,0.00153
yolov8l_8_1280,Coral,4747,3,1,0,0.012,0.00719
yolov8l_8_1280,Sponge,4747,6,0.653,0.333,0.408,0.321
yolov8l_8_1280,Euphausiacea,4747,162,0.398,0.371,0.306,0.145
